Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.00mm,1,10uF,
"C2, C3, C4",C_Disc_D3.0mm_W2.0mm_P2.50mm,3,100nF,
C5,CP_Radial_D5.0mm_P2.00mm,1,4.7uF,
C6,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,1uF,
D1,SK6812MINI-E_fixed,1,SK6812MINI-E,
F1,Fuse_Littelfuse_372_D8.50mm,1,Fuse,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Heater,
Q1,TO-220-3_Vertical,1,NMOS,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,220,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10k,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100k,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,330,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,1,RotaryEncoder_Switch,
TH1,0805,1,100k,
U1,XIAO-Generic-Hybrid-14P-2.54-21X17.8MM,1,MOUDLE-SEEEDUINO-XIAO,
U2,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH224K,
U3,TO-92_Inline,1,L78L05_TO92,
